Entity,Year,Annual CO₂ emissions (per capita)
Africa,1750,0
Andorra,1750,0
Asia,1750,0
Asia (excl. China and India),1750,0
Australia,1750,0
Bhutan,1750,0
Brunei,1750,0
Cote d'Ivoire,1750,0
Europe,1750,61.913.442
Europe (excl. EU-27),1750,23.076.662
Europe (excl. EU-28),1750,0
European Union (28),1750,7.802.569
Greenland,1750,0
Guinea,1750,0
High-income countries,1750,56.684.148
Low-income countries,1750,0
Lower-middle-income countries,1750,0
Mauritania,1750,0
North America,1750,0
North America (excl. USA),1750,0
Oceania,1750,0
Papua New Guinea,1750,0
Sierra Leone,1750,0
Singapore,1750,0
United Kingdom,1750,10.019.125
Upper-middle-income countries,1750,0
World,1750,12.480.065
Africa,1760,0
Andorra,1760,0
Asia,1760,0
Asia (excl. China and India),1760,0
Australia,1760,0
Bhutan,1760,0
Brunei,1760,0
Cote d'Ivoire,1760,0
Europe,1760,6.688.439
Europe (excl. EU-27),1760,24.471.867
Europe (excl. EU-28),1760,0
European Union (28),1760,8.475.215
Greenland,1760,0
Guinea,1760,0
High-income countries,1760,61.903.786
Low-income countries,1760,0
Lower-middle-income countries,1760,0
Mauritania,1760,0
North America,1760,0
North America (excl. USA),1760,0
Oceania,1760,0
Papua New Guinea,1760,0
Sierra Leone,1760,0
Singapore,1760,0
United Kingdom,1760,10.703.607
Upper-middle-income countries,1760,0
World,1760,13.481.781
Africa,1770,0
Andorra,1770,0
Asia,1770,0
Asia (excl. China and India),1770,0
Australia,1770,0
Bhutan,1770,0
Brunei,1770,0
Cote d'Ivoire,1770,0
Europe,1770,7.976.402
Europe (excl. EU-27),1770,2.868.749
Europe (excl. EU-28),1770,0
European Union (28),1770,1.015.947
Greenland,1770,0
Guinea,1770,0
High-income countries,1770,7.456.725
Low-income countries,1770,0
Lower-middle-income countries,1770,0
Mauritania,1770,0
North America,1770,0
North America (excl. USA),1770,0
Oceania,1770,0
Papua New Guinea,1770,0
Sierra Leone,1770,0
Singapore,1770,0
United Kingdom,1770,12.627.978
Upper-middle-income countries,1770,0
World,1770,15.995.078
Africa,1780,0
Andorra,1780,0
Asia,1780,0
Asia (excl. China and India),1780,0
Australia,1780,0
Bhutan,1780,0
Brunei,1780,0
Cote d'Ivoire,1780,0
Europe,1780,9.246.606
Europe (excl. EU-27),1780,32.808.024
Europe (excl. EU-28),1780,0
European Union (28),1780,118.267.186
Greenland,1780,0
Guinea,1780,0
High-income countries,1780,87.254.226
Low-income countries,1780,0
Lower-middle-income countries,1780,0
Mauritania,1780,0
North America,1780,0
North America (excl. USA),1780,0
Oceania,1780,0
Papua New Guinea,1780,0
Sierra Leone,1780,0
Singapore,1780,0
United Kingdom,1780,14.520.403
Upper-middle-income countries,1780,0
World,1780,17.820.267
Africa,1790,0
Andorra,1790,0
Asia,1790,0
Asia (excl. China and India),1790,0
Australia,1790,0
Bhutan,1790,0
Brunei,1790,0
Canada,1790,44.871.387
Cote d'Ivoire,1790,0
Europe,1790,11.344.665
Europe (excl. EU-27),1790,3.983.015
Europe (excl. EU-28),1790,0
European Union (28),1790,14.558.636
Greenland,1790,0
Guinea,1790,0
High-income countries,1790,10.800.384
Low-income countries,1790,0
Lower-middle-income countries,1790,0
Mauritania,1790,0
North America,1790,23.732.767
North America (excl. USA),1790,3.489.542
Oceania,1790,0
Papua New Guinea,1790,0
Sierra Leone,1790,0
Singapore,1790,0
United Kingdom,1790,17.707.862
Upper-middle-income countries,1790,0
World,1790,2.189.629
Africa,1800,0
Andorra,1800,0
Asia,1800,0
Asia (excl. China and India),1800,0
Australia,1800,0
Bhutan,1800,0
Brunei,1800,0
Canada,1800,7.328
Cote d'Ivoire,1800,0
Europe,1800,16.674.893
Europe (excl. EU-27),1800,49.470.153
Europe (excl. EU-28),1800,0
European Union (27),1800,9.118.063
European Union (28),1800,22.827.843
Germany,1800,44.171.557
Greenland,1800,0
Guinea,1800,0
